Spanish,Alternate,Translation,Column42,Column5,Column6,Column7,POS,Gender,Column10,Chapter Number,Chapter Name
el sentimiento,,feeling (emotional),feeling (emotional),feeling,,emotional,Noun,m,[sound:spanishdict-428c1605-4949f88f-dd0196e8-693511aa-6b93e713.mp3],41,Feelings
triste,,sad,sad,sad,,,Adjective,,[sound:spanishdict-d6754b2f-94dc1aa7-4b2765d4-2f957988-b9ba0ba0.mp3],41,Feelings
el deseo,,desire,desire,desire,,,Noun,m,[sound:spanishdict-aa9b688c-f1e76764-65f4e587-b9f2665f-a4f11f0f.mp3],41,Feelings
la curiosidad,,curiosity,curiosity,curiosity,,,Noun,f,[sound:spanishdict-a18c9c40-e58faf95-60ee263e-b4d1f74f-8010af68.mp3],41,Feelings
la satisfacción,,satisfaction,satisfaction,satisfaction,,,Noun,f,[sound:spanishdict-a70100df-a782a5db-22ab3af3-bffe2d57-a5475bf9.mp3],41,Feelings
la celebración,,celebration,celebration,celebration,,,Noun,f,[sound:spanishdict-1df131b7-ea132851-23f74391-98d57a55-b23542b3.mp3],41,Feelings
"nervioso, nerviosa",,nervous,nervous,nervous,,,Adjective,,[sound:spanishdict-3d6ac450-d71f83ac-737dfb94-cca36d7c-ac1e71b0.mp3],41,Feelings
la felicidad,la alegría,happiness,happiness,happiness,,,Noun,f,[sound:spanishdict-9520c406-432d573a-eb748bf6-a5feb455-21481fa5.mp3],41,Feelings
la sonrisa,,smile,smile,smile,,,Noun,f,[sound:spanishdict-72384eaa-e94f0977-6abf5789-002ad677-bceacbde.mp3],41,Feelings
la tensión,,tension,tension,tension,,,Noun,f,[sound:spanishdict-f36aa591-efae2b54-125a9533-3b84577b-7082d31e.mp3],41,Feelings
la amistad,,friendship,friendship,friendship,,,Noun,f,[sound:spanishdict-dc0ab0fd-5107c77c-0d0f437b-e916517f-7afb5367.mp3],41,Feelings
la alegría,la felicidad,joy; happiness; recklessness,joy; happiness; recklessness,joy; happiness; recklessness,,,Noun,f,[sound:spanishdict-9eeb1c27-f1ebf922-6f836223-ef7f3201-ad1bbc9a.mp3],41,Feelings
el amor,,love,love,love,,,Noun,m,[sound:spanishdict-6da255b7-a4f494cc-1f2b66e4-b1a4a562-372ab584.mp3],41,Feelings
feliz,contento,happy,happy,happy,,,Adjective,,[sound:spanishdict-5518635a-f7a05ade-82e05177-25ceb827-8a5a9b54.mp3],41,Feelings
el miedo,el temor,fear,fear,fear,,,Noun,m,[sound:spanishdict-a50b0f82-147c8142-fcf0dbb4-a6caa6ca-88eacae8.mp3],41,Feelings
suponer,imaginar,to suppose; to imagine,to suppose; to imagine,to suppose; to imagine,,,Verb,,[sound:spanishdict-dad231b2-cad86eaa-b209e55a-af092c9e-db184434.mp3],42,VerbsPresentPerfect
determinar,,to determine,to determine,to determine,,,Verb,,[sound:spanishdict-bd6a6ddb-d5c2e705-0c6db572-1bc663f3-4ebb7220.mp3],42,VerbsPresentPerfect
obligar,forcar,to force; to oblige,to force; to oblige,to force; to oblige,,,Verb,,[sound:spanishdict-e91857cd-9922f4b3-6d920202-4fd71139-45f16ed6.mp3],42,VerbsPresentPerfect
forzar,obligar,to force,to force,to force,,,Verb,,[sound:spanishdict-493ee219-991fe5fa-5a5c07f3-1dda0f04-631b4bde.mp3],42,VerbsPresentPerfect
enviar,m…,to send,to send,to send,,,Verb,,[sound:spanishdict-bcf3c377-50e39e29-f5a7e8c0-3ffce937-fd4b2e04.mp3],42,VerbsPresentPerfect
haber,tener,to have (perfect tense verb),to have (perfect tense verb),to have,,perfect tense verb,Verb,,[sound:spanishdict-c3b9ecba-eedf76d4-5fdeb194-c86b56b9-0d33fd80.mp3],42,VerbsPresentPerfect
sufrir,,to suffer,to suffer,to suffer,,,Verb,,[sound:spanishdict-51f07b05-7e48286a-e30e7598-f4873c8a-880dbd67.mp3],42,VerbsPresentPerfect
prever,anticipar,to anticipate; to forecast; to foresee,to anticipate; to forecast; to foresee,to anticipate; to forecast; to foresee,,,Verb,,[sound:spanishdict-a70030cb-e6f85fce-300077dc-1163110d-b3d40a1b.mp3],42,VerbsPresentPerfect
nacer,,to be born,to be born,to be born,,,Verb,,[sound:spanishdict-bd4ed953-5eac8831-2bbd5f9e-2bab6425-6b4efae5.mp3],42,VerbsPresentPerfect
dirigir,manejar,to run; to manage; to lead; to direct,to run; to manage; to lead; to direct,to run; to manage; to lead; to direct,,,Verb,,[sound:spanishdict-6a12cfb4-9b2faa12-f93e0989-51a87a4d-0de32ff9.mp3],43,VerbsPastPerfect
el humo,,smoke,smoke,smoke,,,Noun,m,[sound:spanishdict-7307c7c2-5ccf6054-89cb44ca-e3a384c6-92df9a29.mp3],44,Nature
la célula,,cell (biology),cell (biology),cell,,biology,Noun,f,[sound:spanishdict-7baac64f-fb11b850-b8a53ecf-7a006ec9-dad1472d.mp3],44,Nature
el hueso,,bone,bone,bone,,,Noun,m,[sound:spanishdict-6646c50a-9e7188c4-c904a5dc-a3bc484e-1b34c52f.mp3],44,Nature
el cepillo de dientes,,toothbrush,toothbrush,toothbrush,,,Noun,m,[sound:spanishdict-7b89fee6-d58c79c1-e0c7e517-74b40f3f-2ac6d868.mp3],44,Nature
la flor,,flower,flower,flower,,,Noun,f,[sound:spanishdict-393bc6b3-eaab01de-e5c7088f-0224a414-dc251518.mp3],44,Nature
el árbol,,tree,tree,tree,,,Noun,m,[sound:spanishdict-e44136f0-e349f752-7c05f042-72d4b5c9-90a34abc.mp3],44,Nature
el pasto,c… / el hierbo,grass,grass,grass,,,Noun,m,[sound:spanishdict-bca5b871-8b06ef17-8f60f191-fba92a2b-9a008e69.mp3],44,Nature
la luna,,moon,moon,moon,,,Noun,f,[sound:spanishdict-369cbc7a-4a238dab-f040db75-623491a9-1ce20b06.mp3],44,Nature
el cielo,,sky,sky,sky,,,Noun,m,[sound:spanishdict-e9c45033-c1265496-b23314e4-19536d75-89f3e42f.mp3],44,Nature
la naturaleza,,nature,nature,nature,,,Noun,f,[sound:spanishdict-9dcdf35a-652332fb-a05de768-1621fa9e-20bd1a21.mp3],44,Nature
la especie,,species,species,species,,,Noun,f,[sound:spanishdict-f2564254-74be7436-aacc1085-3844377c-8ff7f830.mp3],44,Nature
el gas,,gas (not gasoline),gas (not gasoline),gas,,not gasoline,Noun,m,[sound:spanishdict-c86a3e41-74061cd1-8ff44f7d-144d7afb-049e3685.mp3],44,Nature
hoy hace calor,,it is hot today,it is hot today,it is hot today,,,Expression,,[sound:spanishdict-70a01d23-37c60623-01b5b22b-2d335163-1cc6656b.mp3],44,Nature
el fuego,,fire,fire,fire,,,Noun,m,[sound:spanishdict-2307e629-518e2a53-f1eb2483-5916e2c0-7a9add4b.mp3],44,Nature
el río,,river,river,river,,,Noun,m,[sound:spanishdict-9bffb624-44f6c5c5-1d416bc1-cb819018-8a02f69e.mp3],44,Nature
el bosque,,forest; woods,forest; woods,forest; woods,,,Noun,m,[sound:spanishdict-dcacd227-c502ecbd-e1243996-51159996-6076ebf7.mp3],44,Nature
el espacio,,space,space,space,,,Noun,m,[sound:spanishdict-844898f7-74ac92d4-0e76be9e-bdd5b96b-0c0c5b75.mp3],44,Nature
la rosa,,rose,rose,rose,,,Noun,f,[sound:spanishdict-b0738ba7-82abdd07-56bfbdaa-32f6c40b-24680880.mp3],44,Nature
el ambiente,,environment; atmosphere; ambience,environment; atmosphere; ambience,environment; atmosphere; ambience,,,Noun,m,[sound:spanishdict-76205f18-ccab06ad-d3e231e8-f00d6611-c4cdf777.mp3],44,Nature
el viento,,wind,wind,wind,,,Noun,m,[sound:spanishdict-efa99e94-85fa66b9-161c7017-dd5b3e86-1608da33.mp3],44,Nature
el monte,,hill; woodland; mountain,hill; woodland; mountain,hill; woodland; mountain,,,Noun,m,[sound:spanishdict-b0ef10ac-4a98460e-5ae72ded-124cc743-6cd85add.mp3],44,Nature
el clima,el tiempo,weather; climate,weather; climate,weather; climate,,,Noun,m,[sound:spanishdict-a7bde31a-e7bbbb63-19ae241e-333f86ab-9681994e.mp3],44,Nature
el mundo,,world,world,world,,,Noun,m,[sound:spanishdict-cb78eb73-765ef1a0-fdd83efb-7947843a-bfc8c211.mp3],44,Nature
el campo,,field,field,field,,,Noun,m,[sound:spanishdict-0a8dfe67-791a2988-92d36525-90fd4c0d-52f5c66a.mp3],44,Nature
la estrella,,star,star,star,,,Noun,f,[sound:spanishdict-ecab468b-6bd56465-589968dd-aaeb1e05-6ce82c83.mp3],44,Nature
la evolución,,evolution,evolution,evolution,,,Noun,f,[sound:spanishdict-9818349b-c146f05f-a87f663e-125911c5-5b391547.mp3],44,Nature
el paisaje,,scenery; landscape,scenery; landscape,scenery; landscape,,,Noun,m,[sound:spanishdict-e3af71e0-e91c6d88-67a8de80-603e64d6-a2615600.mp3],44,Nature
el calor,,heat,heat,heat,,,Noun,m,[sound:spanishdict-9c820b15-e64d3891-5250ce2a-37ac440b-bd7d1785.mp3],44,Nature
el sol,,sun,sun,sun,,,Noun,m,[sound:spanishdict-4035c1c2-8a222efa-944fb46b-7cc11df3-7c921918.mp3],44,Nature
la lluvia,,rain,rain,rain,,,Noun,f,[sound:spanishdict-48be5c73-89343532-8fddf715-a2aa6add-c20ff09d.mp3],44,Nature
la luz,,light,light,light,,,Noun,f,[sound:spanishdict-0870434f-0174a56f-5f7d978b-7738bb48-d6183a90.mp3],44,Nature
la tierra,,earth; land,earth; land,earth; land,,,Noun,f,[sound:spanishdict-02411ee8-d849c616-b297b78a-cf962e43-2c9ea00f.mp3],44,Nature
el volcán,,volcano,volcano,volcano,,,Noun,m,[sound:spanishdict-9318b7e4-f25c9cfb-1e073ed5-88ad576d-d0245c71.mp3],44,Nature
el universo,,universe,universe,universe,,,Noun,m,[sound:spanishdict-8c022695-e4b211cd-3b59062d-77cbc9d6-2dbe7e16.mp3],44,Nature
el planeta,,planet,planet,planet,,,Noun,m,[sound:spanishdict-25eeccc1-12dd8334-59b3beb5-64f44225-72c8e43c.mp3],44,Nature
el mar,,sea,sea,sea,,,Noun,m,[sound:spanishdict-bb0b3694-7254e4c7-d1b334d7-a9dc51ea-24c7ff17.mp3],44,Nature
la piedra,r…,stone; rock,stone; rock,stone; rock,,,Noun,f,[sound:spanishdict-22735091-186d4d12-ce075474-fe829ede-f28556b8.mp3],44,Nature
la hoja,,leaf; sheet ((of paper)),leaf; sheet ((of paper)),leaf; sheet,(of paper),,Noun,f,[sound:spanishdict-cb7c8bec-ff166b81-f1962551-fc256811-947cc2a9.mp3],44,Nature
el aire,,air,air,air,,,Noun,m,[sound:spanishdict-7cb9cadb-ad6013cd-47595d72-2cca2662-330b4afd.mp3],44,Nature
la madera,,wood,wood,wood,,,Noun,f,[sound:spanishdict-104375a8-a25ff111-84ff8266-f6fcaa04-98efbf3d.mp3],44,Nature
la planta,,plant,plant,plant,,,Noun,f,[sound:spanishdict-9a89f1e8-b02b879d-c79b06e8-c10a6f4d-5b863b36.mp3],44,Nature
el diente,,tooth,tooth,tooth,,,Noun,m,[sound:spanishdict-8d9a4cb2-3131162e-3ac7a065-d4779397-c62703fb.mp3],44,Nature
el reloj de arena,,hourglass,hourglass,hourglass,,,Noun,m,[sound:spanishdict-30d7e879-82a39534-b86a2af7-c5c1fad6-7fd6b95c.mp3],44,Nature
la arena,,sand,sand,sand,,,Noun,f,[sound:spanishdict-ab1f2a65-01c8bc13-4f95ac7d-51e54674-172f4918.mp3],44,Nature
el cerebro,,brain,brain,brain,,,Noun,m,[sound:spanishdict-cbe6f0c9-967d3414-3161e7b8-846c6c3a-789cb4c3.mp3],44,Nature
la montaña,,mountain,mountain,mountain,,,Noun,f,[sound:spanishdict-d3896094-793d9741-827dc689-3409d82e-d4c3f76a.mp3],44,Nature
la raíz,,root,root,root,,,Noun,f,[sound:spanishdict-45ca2085-c84c6c33-72f60c44-83b46844-a7b3a553.mp3],44,Nature
la misión,,mission,mission,mission,,,Noun,f,[sound:spanishdict-5cf5daed-8ee74f1d-19f88638-dc94ab10-70ccb9a2.mp3],45,Vocabulary2
el canal,,canal; channel,canal; channel,canal; channel,,,Noun,m,[sound:spanishdict-6eb13541-195ccde9-050e3d98-46e9d3ad-9c8367c8.mp3],45,Vocabulary2
la presentación,,presentation,presentation,presentation,,,Noun,f,[sound:spanishdict-c530ebe6-5c7941fb-2469407d-dab75080-4ccfa8b1.mp3],45,Vocabulary2
la caída,,fall; drop,fall; drop,fall; drop,,,Noun,f,[sound:spanishdict-b7a361ff-0ac022f3-676b2764-3b4b720e-61abdd85.mp3],45,Vocabulary2
las consecuencias,,consequences,consequences,consequences,,,Noun,f,[sound:spanishdict-4ecaeced-dd600a83-0ed82083-69ce0a82-3c0cace4.mp3],45,Vocabulary2
el compromiso,,commitment; engagement,commitment; engagement,commitment; engagement,,,Noun,m,[sound:spanishdict-8665d73a-e2e3ab37-d118dc46-7c743098-abdddd23.mp3],45,Vocabulary2
la crítica,,criticism; critique,criticism; critique,criticism; critique,,,Noun,f,[sound:spanishdict-0c789f25-e3461e77-7ab327b1-91fce081-35bfe903.mp3],45,Vocabulary2
la excepción,,exception,exception,exception,,,Noun,f,[sound:spanishdict-06442b71-f56b62b8-0d13ac27-416a422e-67ce2d50.mp3],45,Vocabulary2
el ruido,s…,noise,noise,noise,,,Noun,m,[sound:spanishdict-7045be5f-34ab134e-183a7ae2-6d378ae3-1f735290.mp3],45,Vocabulary2
la definición,,definition,definition,definition,,,Noun,f,[sound:spanishdict-18a6c883-3c51bc53-82169a9f-0d41cf30-3a078720.mp3],45,Vocabulary2
el sueño,,dream,dream,dream,,,Noun,m,[sound:spanishdict-9bdb2f6f-a39802b1-c54e2efb-0dc11e53-6a2f60c9.mp3],45,Vocabulary2
la sesión,,session,session,session,,,Noun,f,[sound:spanishdict-de95fb37-6e9600fd-b48b61ea-0bad30dd-9149f699.mp3],45,Vocabulary2
el significado,,meaning; significance,meaning; significance,meaning; significance,,,Noun,m,[sound:spanishdict-31f67942-d788d739-698b01ee-7ef9331f-e5609b69.mp3],45,Vocabulary2
la relación,,relationship,relationship,relationship,,,Noun,f,[sound:spanishdict-161fe526-c44e5df8-bc3334d2-c2996455-5d7af2ba.mp3],45,Vocabulary2
la ceremonia,,ceremony,ceremony,ceremony,,,Noun,f,[sound:spanishdict-4912fbee-9af588e9-43692806-10ce1f66-c8b49899.mp3],45,Vocabulary2
la pérdida,,waste,waste,waste,,,Noun,f,[sound:spanishdict-9cf706cf-424b3155-8dad4284-95d07ea2-ffbb5688.mp3],45,Vocabulary2
la distribución,,distribution,distribution,distribution,,,Noun,f,[sound:spanishdict-76d65260-443df6e4-d0468214-449d4cc2-534562b7.mp3],45,Vocabulary2
la versión,,version,version,version,,,Noun,f,[sound:spanishdict-51f3b1d2-e11dc1c3-0f773d99-3282f416-9ce8985f.mp3],45,Vocabulary2
la situación,,situation,situation,situation,,,Noun,f,[sound:spanishdict-d3d159c6-b702e20a-9f30ade5-ff88f30f-d4bc6f49.mp3],45,Vocabulary2
la unión,,union,union,union,,,Noun,f,[sound:spanishdict-9084d15e-857d10d2-3b82032d-152af3b4-11102438.mp3],45,Vocabulary2
la perspectiva,,perspective,perspective,perspective,,,Noun,f,[sound:spanishdict-7ae88677-ce7b03c5-b90a47ee-e3d03fab-e251ca71.mp3],45,Vocabulary2
el puesto,el lugar / la posición,place; position,place; position,place; position,,,Noun,m,[sound:spanishdict-70fb57bb-b73f1b67-32bb7308-5ece01bd-15addc1a.mp3],45,Vocabulary2
el esfuerzo,,effort,effort,effort,,,Noun,m,[sound:spanishdict-24219be7-52def0cc-f16bdd42-8e9a91b8-3716725b.mp3],45,Vocabulary2
la presencia,,presence,presence,presence,,,Noun,f,[sound:spanishdict-62939445-f077093c-9d0f6233-1e9d1f6a-23286fa3.mp3],45,Vocabulary2
la edición,,edition,edition,edition,,,Noun,f,[sound:spanishdict-63b7753a-77e0396a-f7af3fa6-d95ff425-6abd43af.mp3],45,Vocabulary2
la decisión,,decision,decision,decision,,,Noun,f,[sound:spanishdict-5a69375e-d43ac26b-f1f5a337-8eb8db8e-b9f637f0.mp3],45,Vocabulary2
el margen,,margin,margin,margin,,,Noun,m,[sound:spanishdict-572cc0dc-4c3cfeb2-fbc8a137-6ce8009b-b102e596.mp3],45,Vocabulary2
la división,,division,division,division,,,Noun,f,[sound:spanishdict-10b3fb6e-0234ed4a-ef878f54-5c83a1f1-750c1502.mp3],45,Vocabulary2
el orden,,order,order,order,,,Noun,m,[sound:spanishdict-24269936-4218c326-3ec59182-b533a217-bc8f63b2.mp3],45,Vocabulary2
el fracaso,,failure,failure,failure,,,Noun,m,[sound:spanishdict-0bb463e9-ebabc1b2-76e12731-802e6d2e-87b9dab6.mp3],45,Vocabulary2
la pausa,,pause; break,pause; break,pause; break,,,Noun,f,[sound:spanishdict-7ac5e19e-bd70fa0f-d5f4a4f1-df3d28d3-129f9715.mp3],45,Vocabulary2
la extensión,a… / p…,extension; extent,extension; extent,extension; extent,,,Noun,f,[sound:spanishdict-b6a2792d-b46dba3d-7cb87c8d-8a182b6a-61750236.mp3],45,Vocabulary2
la propuesta,,proposal,proposal,proposal,,,Noun,f,[sound:spanishdict-79743c22-7440c14c-7e186cf1-71e255ef-f1e59790.mp3],45,Vocabulary2
el motivo,,motive,motive,motive,,,Noun,m,[sound:spanishdict-30863899-f7e0267b-7dcf1cfd-66325ce5-b3217961.mp3],45,Vocabulary2
el impacto,,impact,impact,impact,,,Noun,m,[sound:spanishdict-c0dc7c7b-34112fa1-4d934456-28fe6159-6728de88.mp3],45,Vocabulary2
la concentración,,concentration,concentration,concentration,,,Noun,f,[sound:spanishdict-8406ce06-06981385-43a126fd-d197bb1c-c9a50bba.mp3],45,Vocabulary2
la intensidad,,intensity,intensity,intensity,,,Noun,f,[sound:spanishdict-57bc4413-aeb3c762-3de6895c-567e3dc8-f395fc19.mp3],45,Vocabulary2
la belleza,,beauty,beauty,beauty,,,Noun,f,[sound:spanishdict-87dcd1eb-cd3fe5d0-847b42a5-56b7eb07-092ddce5.mp3],45,Vocabulary2
la categoría,,category,category,category,,,Noun,f,[sound:spanishdict-d3aa7a2c-9faee081-4d0a7a2d-1488e056-a8712cbf.mp3],45,Vocabulary2
la continuación,,continuation,continuation,continuation,,,Noun,f,[sound:spanishdict-cd5db722-770cbe7c-b41b800e-53616732-4ef9b3da.mp3],45,Vocabulary2
la sombra,,shadow,shadow,shadow,,,Noun,f,[sound:spanishdict-1f259e96-9d146376-dda79a30-426fae3a-71162891.mp3],45,Vocabulary2
el error,,error,error,error,,,Noun,m,[sound:spanishdict-5c593c66-0f8cead6-d73b05bf-0394a35e-05bd4e2b.mp3],45,Vocabulary2
el comportamiento,,behavior,behavior,behavior,,,Noun,m,[sound:spanishdict-c14fc3a4-28d0644a-761b91eb-f823c686-29d1f445.mp3],45,Vocabulary2
el gesto,,gesture,gesture,gesture,,,Noun,m,[sound:spanishdict-30b3cafc-ad7d7cf8-73744112-c4ea8a82-8c3ecf81.mp3],45,Vocabulary2
la unidad,,unit; unity,unit; unity,unit; unity,,,Noun,f,[sound:spanishdict-7a1bae65-2174ff96-8d0cd25a-b6bce332-970d19dc.mp3],45,Vocabulary2
la intención,,intention,intention,intention,,,Noun,f,[sound:spanishdict-b980e506-92176c06-4491aee4-f3c0bb7b-628687e2.mp3],45,Vocabulary2
la influencia,,influence,influence,influence,,,Noun,f,[sound:spanishdict-d65d024b-29036ef4-cddaf264-68af5797-bed65765.mp3],45,Vocabulary2
la preocupación,,concern; worry,concern; worry,concern; worry,,,Noun,f,[sound:spanishdict-aa3bfda4-9584a1b0-78c1d77a-b7a90146-d104b222.mp3],45,Vocabulary2
el factor,,factor,factor,factor,,,Noun,m,[sound:spanishdict-27e200e8-1ea46367-d8020859-4ba07c18-58d2cb42.mp3],45,Vocabulary2
la experiencia,,experience,experience,experience,,,Noun,f,[sound:spanishdict-b3e4f4f9-42196dd8-9e47c604-4d3583a4-23041422.mp3],45,Vocabulary2
la conducta,,conduct,conduct,conduct,,,Noun,f,[sound:spanishdict-dcc2b36a-0683708b-15dba42b-5a790180-518d269c.mp3],45,Vocabulary2
el honor,,honor,honor,honor,,,Noun,m,[sound:spanishdict-515868fa-2cf230a9-8cbc9492-f65921cc-1aad5ac5.mp3],45,Vocabulary2
la identidad,,identity,identity,identity,,,Noun,f,[sound:spanishdict-60286143-6dfe3bf9-545c0e19-73bad101-63055646.mp3],45,Vocabulary2
el recurso,,resource,resource,resource,,,Noun,m,[sound:spanishdict-1902fd0d-92a6a85a-9ffd61c2-6c27abe3-16c84bc1.mp3],45,Vocabulary2
construir,,"to construct, to build","to construct, to build","to construct, to build",,,Verb,,[sound:spanishdict-753b192f-36cf4506-86651dea-1b735817-46241bc8.mp3],46,VerbsInfinitive2
formar,,to form,to form,to form,,,Verb,,[sound:spanishdict-f45f27d2-62b47e18-ee407ae3-9f5c78a9-d870f858.mp3],46,VerbsInfinitive2
comprobar,,to check,to check,to check,,,Verb,,[sound:spanishdict-c65dcb45-28973787-38128b19-58869b11-6bc96ef9.mp3],46,VerbsInfinitive2
desarrollar,,to develop,to develop,to develop,,,Verb,,[sound:spanishdict-0d32e9b0-f0f9f252-322fea46-612c3dc3-a73afa8f.mp3],46,VerbsInfinitive2
participar,,to participate,to participate,to participate,,,Verb,,[sound:spanishdict-110408d7-9e0e2cdd-0175463b-fd5bb71e-45d5e30f.mp3],46,VerbsInfinitive2
actuar,,to act,to act,to act,,,Verb,,[sound:spanishdict-cf58c68b-13348a5f-208d1e55-98b1b31e-d8013d4d.mp3],46,VerbsInfinitive2
matar,,to kill,to kill,to kill,,,Verb,,[sound:spanishdict-7c112fe1-9096a3bc-0245b2d2-ccedfb5f-07ae7043.mp3],46,VerbsInfinitive2
romper,,to break,to break,to break,,,Verb,,[sound:spanishdict-ffd50d94-2196667c-be67d26d-e32099f3-e3782389.mp3],46,VerbsInfinitive2
existir,,to exist,to exist,to exist,,,Verb,,[sound:spanishdict-b2425b22-3ae27a8c-a518b021-beaa7c7a-e27d6630.mp3],46,VerbsInfinitive2
preparar,,to prepare,to prepare,to prepare,,,Verb,,[sound:spanishdict-dbc3be5d-3573bf1c-044ca5f7-ba53ea1d-a0ae1697.mp3],46,VerbsInfinitive2
impedir,,to prevent; to hinder,to prevent; to hinder,to prevent; to hinder,,,Verb,,[sound:spanishdict-7c411d28-50be5c49-72af53fb-da486f0c-7663144f.mp3],46,VerbsInfinitive2
eliminar,,to eliminate; to be eliminated,to eliminate; to be eliminated,to eliminate; to be eliminated,,,Verb,,[sound:spanishdict-495c898a-2ce942a0-1aab5cf4-8cd29e5b-a940cd20.mp3],46,VerbsInfinitive2
atender,,"to pay attention, to look after","to pay attention, to look after","to pay attention, to look after",,,Verb,,[sound:spanishdict-9455dfc1-084562d7-28df9f86-5ba755c7-98de11d1.mp3],46,VerbsInfinitive2
subir,,"to go up, to climb, to get on","to go up, to climb, to get on","to go up, to climb, to get on",,,Verb,,[sound:spanishdict-63868f43-538c1bd9-fb3ace04-a1c9198f-3ad81b9a.mp3],46,VerbsInfinitive2
analizar,,to analyze,to analyze,to analyze,,,Verb,,[sound:spanishdict-d37f196c-697f5d13-db45f62e-0c726c25-48de625d.mp3],46,VerbsInfinitive2
colocar,poner,"to put, to place, to locate","to put, to place, to locate","to put, to place, to locate",,,Verb,,[sound:spanishdict-ef66874f-02843ec7-c6771a88-0b860f00-e3b20c36.mp3],46,VerbsInfinitive2
definir,,to define,to define,to define,,,Verb,,[sound:spanishdict-a45d76fe-ed9df17f-bec24cf1-5053d728-ed6fafcc.mp3],46,VerbsInfinitive2
cubrir,,to cover,to cover,to cover,,,Verb,,[sound:spanishdict-1a6eac6a-7c9e4ae0-eafd2ac8-062e6580-b7be5fa5.mp3],46,VerbsInfinitive2
asumir,,to assume,to assume,to assume,,,Verb,,[sound:spanishdict-8d9a4d4e-3d968cf9-6f8b4a28-8cdbeb66-66169165.mp3],46,VerbsInfinitive2
los deportes,,sports,sports,sports,,,Noun,m,[sound:spanishdict-ef84b6d4-c6b4b1c8-855932b4-492910a9-1eb23df5.mp3],47,Sports
el fútbol,,soccer,soccer,soccer,,,Noun,m,[sound:spanishdict-9637ef0b-9d8ec213-bec26342-0b3dfb74-3c3ffec5.mp3],47,Sports
el estadio,,stadium,stadium,stadium,,,Noun,m,[sound:spanishdict-5db0c8d5-ef6fa3ff-be005c7f-79084be0-7100a5c0.mp3],47,Sports
el equipo,,team; equipment,team; equipment,team; equipment,,,Noun,m,[sound:spanishdict-ea54e2d5-0ff420b2-114b4f33-b9d095b4-1cf21eae.mp3],47,Sports
la liga,,league,league,league,,,Noun,f,[sound:spanishdict-7c4f59b0-daef6c94-3658d298-e6df0ad4-6dbd502d.mp3],47,Sports
el descenso,b…,descent,descent,descent,,,Noun,m,[sound:spanishdict-6637753c-a3afa7f1-d58641d5-fab06e75-533b2111.mp3],47,Sports
el campeonato,,championship,championship,championship,,,Noun,m,[sound:spanishdict-a30f9067-e3c37019-53d7d890-91aa4a7a-83bb80f3.mp3],47,Sports
"el campeón, la campeona",,champion,champion,champion,,,Noun,m,[sound:spanishdict-8304b61d-fce85fba-2f09a9ef-72a270a5-f075ce9e.mp3],47,Sports
la carrera,,race (sports),race (sports),race,,sports,Noun,f,[sound:spanishdict-ea4c3422-594bd4dc-5fa1b0ad-1eeb26d6-23af06fb.mp3],47,Sports
"el jugador, la jugadora",,player,player,player,,,Noun,m,[sound:spanishdict-cf660b2a-8668e9e4-7950e92a-bc3e9ba7-62de9b73.mp3],47,Sports
el torneo,,tournament,tournament,tournament,,,Noun,m,[sound:spanishdict-dfbb7691-224cfb57-7e40f389-c10b11cb-6304c9cc.mp3],47,Sports
el gol,,goal (sports),goal (sports),goal,,sports,Noun,m,[sound:spanishdict-84472c52-56c26799-c37dc806-b66ee363-52b76555.mp3],47,Sports
el ejercicio,,exercise,exercise,exercise,,,Noun,m,[sound:spanishdict-67cccd7c-7f74ff8f-e64539cc-7a902d41-cf6b0210.mp3],47,Sports
la depresión,,depression,depression,depression,,,Noun,f,[sound:spanishdict-fc88da1a-95660d5b-4fe9d1d0-ce11ea72-8684227c.mp3],48,Medical
el virus,,virus,virus,virus,,,Noun,m,[sound:spanishdict-25fa6a41-910f8196-6c948991-6a4a9764-2b330710.mp3],48,Medical
la dieta,a…,diet,diet,diet,,,Noun,f,[sound:spanishdict-db936493-3e4905c6-40c67f49-dc38bd7f-e71a53b5.mp3],48,Medical
la emoción,s…,emotion,emotion,emotion,,,Noun,f,[sound:spanishdict-44fa422f-e4cfdbf7-40f9917b-7ca3c2c2-16ff7cfe.mp3],48,Medical
la presión arterial,,blood pressure,blood pressure,blood pressure,,,Noun,f,[sound:spanishdict-5e40a799-a2953084-feecc985-0693381d-a42b7f9f.mp3],48,Medical
el órgano,,organ,organ,organ,,,Noun,m,[sound:spanishdict-b7743efa-027e505b-bc2bf1c9-fc5a1f29-3b875dc0.mp3],48,Medical
la condición,,condition,condition,condition,,,Noun,f,[sound:spanishdict-dcd70633-108eb678-aeb6dad7-80170f03-943ea104.mp3],48,Medical
el diagnóstico,,diagnosis,diagnosis,diagnosis,,,Noun,m,[sound:spanishdict-60a52ef6-a1e9bdcb-666ad128-1c6e5878-2b588070.mp3],48,Medical
el ojo,,eye,eye,eye,,,Noun,m,[sound:spanishdict-1c174133-65844203-0008ea49-7bba2b1d-845f69a4.mp3],48,Medical
el cuello,,neck,neck,neck,,,Noun,m,[sound:spanishdict-db51b3b7-477e40e6-01267980-636fcf87-61d43dbc.mp3],48,Medical
la pierna,,leg,leg,leg,,,Noun,f,[sound:spanishdict-ae7abd4e-b1449719-77d9a4d2-42fe8b66-1268fbeb.mp3],48,Medical
